brand,n_replies,median_reply_chars,pct_reply_asks_dm,pct_reply_has_link
AmazonHelp,169840,123,0.7,41.3
AppleSupport,106860,129,52.5,75.4
Uber_Support,56270,104,63.4,51.3
SpotifyCares,43265,131,31.6,50.5
Delta,42253,102,16.3,15.3
Tesco,38573,134,26.9,8.3
AmericanAir,36764,107,16.8,6.5
TMobileHelp,34317,126,82.0,48.2
comcastcares,33031,127,71.3,4.0
British_Airways,29361,124,14.1,6.8
SouthwestAir,28977,118,17.0,16.2
VirginTrains,27817,79,2.6,13.2
Ask_Spectrum,25860,147,46.9,39.4
XboxSupport,24557,115,22.6,40.4
sprintcare,22381,117,47.3,17.3
hulu_support,21872,132,0.7,54.8
sainsburys,19466,120,23.8,30.6
GWRHelp,19364,110,1.4,7.0
AskPlayStation,19098,103,26.6,36.6
ChipotleTweets,18749,72,0.9,27.8
VerizonSupport,17966,83,11.8,10.8
UPSHelp,17817,139,67.5,85.1
ATVIAssist,17650,111,23.8,32.1
O2,16212,116,28.1,46.9
Safaricom_Care,16077,80,19.2,10.7
